date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-10-21 00:00:00,5.2,0.9,12.6,,,92,18.3,,,
2018-10-22 00:00:00,5.4,-2.2,14,,,277,15.5,,1018.5,
2018-10-23 00:00:00,5.9,0,11,,,45,17.5,,,
2018-10-24 00:00:00,6,3.6,10.8,,,78,16.8,,,
2018-10-25 00:00:00,5.1,-1,10.3,,,41,13.4,,,
2018-10-26 00:00:00,5.9,3.6,8.6,0,,30,14.9,,,
2018-10-27 00:00:00,9,5.5,13.3,0.8,,300,26.8,,998.3,
2018-10-28 00:00:00,9.3,5,16.2,0,,313,27,,,
2018-10-29 00:00:00,8.3,2,16.6,,,295,29.6,,,
2018-10-30 00:00:00,7.3,2.8,13.4,,,268,35.1,,,
2018-10-31 00:00:00,7.7,1.4,15,,,303,30.1,,,
2018-11-01 00:00:00,6.2,-0.6,15.5,,,325,14.7,,,
2018-11-02 00:00:00,6.8,,,0.5,,,,,,
2018-11-03 00:00:00,7.6,4.9,13.6,0,,18,33.5,,,
2018-11-04 00:00:00,9.9,6.1,15,,,331,25.3,,,
2018-11-05 00:00:00,7,2.6,15.6,,,262,37.8,,994.6,
2018-11-06 00:00:00,6.8,1.6,12,,,274,49,,1002.9,
2018-11-07 00:00:00,6.6,3,12.2,0,,316,30.9,,,
2018-11-08 00:00:00,7.4,2,11.5,3,,256,39.3,,,
2018-11-09 00:00:00,7.3,2,14,0,,248,22.5,,,
2018-11-10 00:00:00,7.6,1,,,,,,,,
2018-11-11 00:00:00,10.2,3,17,,,270,23.3,,,
2018-11-12 00:00:00,12.4,8.4,17.2,,,284,37.6,,999,
2018-11-13 00:00:00,11,4,18,0,,302,34.5,,998.3,
2018-11-14 00:00:00,11.8,7.5,18.7,0.3,,287,33.7,,985.2,
2018-11-15 00:00:00,7.2,1.5,17.5,0,,270,41.1,,992.5,
2018-11-16 00:00:00,7.3,3,13.9,0,,264,43.5,,,
2018-11-17 00:00:00,7.7,0.3,15,,,282,28.2,,,
2018-11-18 00:00:00,9.9,6,15,0,,286,47.8,,988.5,
2018-11-19 00:00:00,9,6,15,,,293,45.7,,981,
2018-11-20 00:00:00,7.3,3.9,14.6,,,280,34.9,,,
2018-11-21 00:00:00,5.1,1,13.4,5.1,,,15.5,,,
2018-11-22 00:00:00,5.7,-2,14,0.8,,304,28.5,,,
2018-11-23 00:00:00,11.6,7.5,16.2,0.3,,300,45.6,,995.8,
2018-11-24 00:00:00,10.9,5.8,16.4,0,,294,43.6,,,
2018-11-25 00:00:00,10.9,5,16.7,,,278,41.5,,,
2018-11-26 00:00:00,11.1,3.8,16,0,,277,40.6,,,
2018-11-27 00:00:00,11.3,5.5,18,,,263,36,,,
2018-11-28 00:00:00,9.7,1.6,17.6,,,324,22.1,,,
2018-11-29 00:00:00,10.3,7,15.2,,,303,18.6,,,
2018-11-30 00:00:00,9.1,2.3,15.6,0,,243,29.9,,1008.6,
2018-12-01 00:00:00,10,5,,,,,,,,
2018-12-02 00:00:00,13.5,1.6,,20.1,,,,,,
2018-12-03 00:00:00,8.7,7,20.5,3,,38,28.1,,1001.3,
2018-12-04 00:00:00,7.9,3.3,13.2,0.5,,295,25.4,,,
2018-12-05 00:00:00,9.2,2.4,15,0,,263,22.7,,,
2018-12-06 00:00:00,12.2,7,21,0,,281,41.2,,,
2018-12-07 00:00:00,13.3,6.5,21.2,,,259,39,,1000.5,
2018-12-08 00:00:00,11.8,4.5,18.6,0,,277,34.5,,992,
2018-12-09 00:00:00,11.6,7,18,0,,278,39.4,,,
2018-12-10 00:00:00,11.1,9,17.6,3,,330,22.2,,,
2018-12-11 00:00:00,10.3,5.6,14.6,7.1,,264,27.9,,,
2018-12-12 00:00:00,12.9,7.6,18,0,,313,32.9,,,
2018-12-13 00:00:00,12.6,9,18.3,0.5,,319,22.7,,,
2018-12-14 00:00:00,8.6,0.5,17.7,0,,302,32.9,,999,
2018-12-15 00:00:00,14.4,9,21.9,0,,296,44.3,,980.5,
2018-12-16 00:00:00,8.2,2.4,22.3,0.3,,250,34.3,,,
2018-12-17 00:00:00,10.2,6,14,0,,255,52.5,,,
2018-12-18 00:00:00,11.4,6.5,19,,,282,34.1,,999.8,
