Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd,wspd_m_s,riesgo_score,riesgo_operativo,viento_oeste
2018-06-05,220.34641994087823,4.320662863604667,284.7243321727366,248.20616768790245,2018-06-05,-1.2,-6.6,8.3,216.0,7.8,2.1666666666666665,3.685731051496134,Bajo,1
2018-06-06,365.1965506937765,4.195635656929671,420.0504939221746,217.7736020386215,2018-06-06,1.2,-2.3,5.1,235.0,13.7,3.8055555555555554,3.5084925052689133,Bajo,0
2018-06-07,172.8138064477175,3.4926549829542592,221.47599791358613,109.91430672672044,2018-06-07,-0.7,-6.6,5.5,280.0,14.9,4.138888888888889,3.5833707675503335,Bajo,0
2018-06-08,306.0548810797429,5.064070469803276,400.1895314152122,61.123902360598194,2018-06-08,5.3,-6.0,6.2,66.0,23.5,6.527777777777778,4.9439978374375215,Bajo,0
2018-06-09,47.67510880840317,2.4165480374875954,69.1738848046969,122.66727338896833,2018-06-09,0.6,-2.0,5.7,226.0,9.0,2.5,2.1499288224925572,Bajo,0
2018-06-10,1458.8248490570095,7.419786600602977,1670.416552761075,99.0364743603599,2018-06-10,1.6,-1.5,3.0,224.0,9.1,2.5277777777777777,5.107427515917342,Bajo,0
2018-06-11,3265.5002204047287,12.762709359327904,3420.576972661548,56.4702365663316,2018-06-11,-1.9,-6.0,3.2,219.0,9.1,2.5277777777777777,8.763181171152297,Bajo,0
2018-06-12,2192.526673210989,10.292764812707878,2418.8061126207726,57.9388464821709,2018-06-12,-3.2,-6.0,1.3,230.0,9.4,2.611111111111111,7.29788110984695,Bajo,0
2018-06-14,214.9241018630557,2.8884070192774094,275.7408825005529,208.6743800772557,2018-06-14,-3.0,-7.4,3.0,293.0,10.3,2.861111111111111,3.045266433788668,Bajo,0
2018-06-15,861.0381433288037,6.205829634020717,1040.3169401022392,176.05245153109192,2018-06-15,1.2,-6.2,6.0,298.0,8.7,2.4166666666666665,4.826831113745763,Bajo,0
2018-06-16,681.9992155107577,5.792030701687273,838.7809383458292,126.35555329022682,2018-06-16,4.8,-1.8,8.0,304.0,27.8,7.722222222222222,5.1996628654568084,Bajo,0
